12/04/2019 13:12:13
x,y
0.0,1.0
0.0625,0.8824969025845955
0.125,0.7788007830714049
0.1875,0.6872892787909722
0.25,0.6065306597126334
0.3125,0.5352614285189903
0.375,0.4723665527410147
0.4375,0.4168620196785084
0.5,0.36787944117144233
0.5625,0.32465246735834974
0.625,0.2865047968601901
0.6875,0.25283959580474646
0.75,0.22313016014842982
0.8125,0.19691167520419406
0.875,0.17377394345044514
0.9375,0.15335496684492847
1.0,0.1353352832366127
1.0625,0.11943296826671962
1.125,0.10539922456186433
1.1875,0.09301448921066349
1.25,0.0820849986238988
1.3125,0.07243975703425146
1.375,0.06392786120670757
1.4375,0.05641613950377735
1.5,0.049787068367863944
1.5625,0.04393693362340742
1.625,0.03877420783172201
1.6875,0.03421811831166603
1.75,0.0301973834223185
1.8125,0.026649097336355485
1.875,0.023517745856009107
1.9375,0.020754337873699742
2.0,0.01831563888873418
2.0625,0.016163494588165874
2.125,0.014264233908999256
2.1875,0.012588142242433998
2.25,0.011108996538242306
2.3125,0.009803655035821828
2.375,0.008651695203120634
2.4375,0.007635094218859962
2.5,0.006737946999085467
2.5625,0.005946217356472094
2.625,0.005247518399181385
2.6875,0.004630918733533246
2.75,0.004086771438464067
2.8125,0.0036065631360157305
2.875,0.003182780796509667
2.9375,0.0028087941945255128
3.0,0.0024787521766663585
3.0625,0.002187491118182885
3.125,0.0019304541362277093
3.1875,0.001703619795802574
3.25,0.0015034391929775724
3.3125,0.0013267804310269915
3.375,0.0011708796207911744
3.4375,0.001033297638647637
3.5,0.0009118819655545162
3.5625,0.0008047330101246132
3.625,0.000710174388842549
3.6875,0.0006267266984484576
3.75,0.0005530843701478336
3.8125,0.000488095243523415
3.875,0.00043074254057568753
3.9375,0.0003801289578694637
4.0,0.00033546262790251185
4.0625,0.0002960447300568554
4.125,0.00026125855730166754
4.1875,0.00023055986759244163
4.25,0.00020346836901064417
4.3125,0.00017956020542583297
4.375,0.00015846132511575126
4.4375,0.00013984162859410104
4.5,0.00012340980408667956
4.5625,0.00010890876985506645
4.625,9.61116520613947e-05
4.6875,8.481823524646916e-05
4.75,7.48518298877006e-05
4.8125,6.605650802868481e-05
4.875,5.829466373086881e-05
4.9375,5.144486017970228e-05
5.0,4.5399929762484854e-05
5.0625,4.006529739295107e-05
5.125,3.535750085040998e-05
5.1875,3.1202884983619004e-05
5.25,2.7536449349747158e-05
5.3125,2.430083125932946e-05
5.375,2.1445408316589164e-05
5.4375,1.892550641405186e-05
5.5,1.670170079024566e-05
5.5625,1.4739199215286483e-05
5.625,1.300729765406762e-05
5.6875,1.147889989071055e-05
5.75,1.013009359863071e-05
5.8125,8.93977622368364e-06
5.875,7.889324827200223e-06
5.9375,6.962304723487946e-06
6.0,6.14421235332821e-06
6.0625,5.422248370634153e-06
6.125,4.785117392129009e-06
6.1875,4.222851277057527e-06
6.25,3.726653172078671e-06
6.3125,3.2887598813664843e-06
6.375,2.902320408650404e-06
6.4375,2.5612887709420388e-06
6.5,2.2603294069810542e-06
6.5625,1.994733700481656e-06
6.625,1.7603463121561693e-06
6.6875,1.5535001679540347e-06
6.75,1.3709590863840845e-06
6.8125,1.2098671473041613e-06
6.875,1.0677040100347827e-06
6.9375,9.422454817328475e-07
7.0,8.315287191035679e-07
7.0625,7.338215190190347e-07
7.125,6.475952175842209e-07
7.1875,5.715007736466721e-07
7.25,5.04347662567888e-07
7.3125,4.450852500419419e-07
7.375,3.927863545481039e-07
7.4375,3.4663274126619643e-07
7.5,3.059023205018258e-07
7.5625,2.699578503363014e-07
7.625,2.382369667501818e-07
7.6875,2.1024338523818466e-07
7.75,1.8553913626159784e-07
7.8125,1.6373771305908126e-07
7.875,1.4449802461092448e-07
7.9375,1.2751905914873347e-07
8.0,1.1253517471925912e-07
8.0625,9.931194312156244e-08
8.125,8.764248219443636e-08
8.1875,7.734421907141565e-08
8.25,6.82560337633487e-08
8.3125,6.023573837886479e-08
8.375,5.3157852544244216e-08
8.4375,4.691164021834418e-08
8.5,4.139937718785167e-08
