C:\Users\Karl\Google Drive\Doutorado\Reologia\2018 - Oscilatório aprofundado outra região\rwd\RH189-3  11.48.54 2018-05-24.rwd
Company / Operator: UNICAMP / IQ
Date / Time / Version: 24.05.2018 / 10:52:40 / HAAKE RheoWin 4.63.0003
Substance / Sample no: RH189-3 / 

;GP / 1/s;Eta / Pas;omega / rad/s;G' / Pa;G'' / Pa;T / °C;Tau / Pa;
1|1; ; ;6,28;41,1;7,41;25,0;0,0108;
1|2; ; ;6,28;41,2;6,94;25,0;0,0150;
1|3; ; ;6,28;42,2;7,54;25,0;0,0207;
1|4; ; ;6,28;42,6;7,48;25,0;0,0287;
1|5; ; ;6,28;42,8;7,48;25,0;0,0398;
1|6; ; ;6,28;43,1;7,74;25,0;0,0552;
1|7; ; ;6,28;43,7;7,80;25,0;0,0764;
1|8; ; ;6,28;44,6;7,83;25,0;0,106;
1|9; ; ;6,28;45,1;7,72;25,0;0,147;
1|10; ; ;6,28;46,0;7,91;25,0;0,203;
1|11; ; ;6,28;46,1;8,05;25,0;0,282;
1|12; ; ;6,28;46,1;7,71;25,0;0,391;
1|13; ; ;6,28;46,3;7,94;25,0;0,542;
1|14; ; ;6,28;46,4;7,88;25,0;0,751;
1|15; ; ;6,28;46,9;7,95;25,0;1,04;
1|16; ; ;6,28;46,9;7,90;25,0;1,44;
1|17; ; ;6,28;46,9;7,89;25,0;2,00;
1|18; ; ;6,28;47,2;7,93;25,0;2,78;
1|19; ; ;6,28;47,1;7,91;25,0;3,85;
1|20; ; ;6,28;47,2;7,93;25,0;5,34;
2|1; ; ;0,0628;0,209;3,18;25,0;1,000;
2|2; ; ;0,0811;0,350;4,10;25,0;1,000;
2|3; ; ;0,105;0,582;5,27;25,0;1,000;
2|4; ; ;0,135;0,968;6,76;25,0;1,000;
2|5; ; ;0,175;1,60;8,64;25,0;1,000;
2|6; ; ;0,226;2,65;11,0;25,0;1,000;
2|7; ; ;0,292;4,29;13,7;25,0;1,000;
2|8; ; ;0,377;6,76;16,7;25,0;1,00;
2|9; ; ;0,486;10,3;19,7;25,0;1,00;
2|10; ; ;0,628;14,9;22,2;25,0;1,00;
2|11; ; ;0,811;20,5;23,8;25,0;1,00;
2|12; ; ;1,05;26,6;23,9;25,0;1,00;
2|13; ; ;1,35;32,2;22,7;25,0;1,00;
2|14; ; ;1,75;37,1;20,5;25,0;1,00;
2|15; ; ;2,26;40,8;17,6;25,0;1,01;
2|16; ; ;2,92;43,7;14,8;25,0;1,01;
2|17; ; ;3,77;45,7;12,2;25,0;1,02;
2|18; ; ;4,86;46,5;9,81;25,0;1,04;
2|19; ; ;6,28;47,7;7,99;25,0;1,07;
2|20; ; ;8,11;48,4;6,46;25,0;1,12;
2|21; ; ;10,5;48,8;5,36;25,0;1,21;
2|22; ; ;13,5;49,2;4,47;25,0;1,41;
2|23; ; ;17,5;49,6;3,78;25,0;1,95;
2|24; ; ;22,6;49,9;3,15;25,0;5,12;
2|25; ; ;29,2;51,5;2,74;25,0;3,05;
2|26; ; ;37,7;54,5;2,16;25,0;0,952;
2|27; ; ;48,6;54,8;7,68;25,0;0,623;
2|28; ; ;62,8;50,4;12,9;25,0;0,302;
3|1;0,0000997;-16,9; ; ; ;25,0;-0,00168;
3|2;0,000137;0,820; ; ; ;25,0;0,000112;
3|3;0,000187;12,2; ; ; ;25,0;0,00228;
3|4;0,000257;29,4; ; ; ;25,0;0,00753;
3|5;0,000350;34,6; ; ; ;25,0;0,0121;
3|6;0,000477;36,6; ; ; ;25,0;0,0174;
3|7;0,000652;39,4; ; ; ;25,0;0,0257;
3|8;0,000896;43,2; ; ; ;25,0;0,0387;
3|9;0,00123;44,0; ; ; ;25,0;0,0541;
3|10;0,00167;45,2; ; ; ;25,0;0,0755;
3|11;0,00231;47,6; ; ; ;25,0;0,110;
3|12;0,00313;48,7; ; ; ;25,0;0,152;
3|13;0,00429;50,0; ; ; ;25,0;0,214;
3|14;0,00584;50,2; ; ; ;25,0;0,293;
3|15;0,00801;50,1; ; ; ;25,0;0,401;
3|16;0,0110;50,9; ; ; ;25,0;0,558;
3|17;0,0150;51,4; ; ; ;25,0;0,768;
3|18;0,0204;51,7; ; ; ;25,0;1,06;
3|19;0,0280;51,9; ; ; ;25,0;1,45;
3|20;0,0383;52,0; ; ; ;25,0;1,99;
3|21;0,0523;51,8; ; ; ;25,0;2,71;
3|22;0,0715;52,1; ; ; ;25,0;3,73;
3|23;0,0978;51,9; ; ; ;25,0;5,07;
3|24;0,134;51,8; ; ; ;25,0;6,93;
3|25;0,183;51,8; ; ; ;25,0;9,47;
3|26;0,250;50,8; ; ; ;25,0;12,7;
3|27;0,342;49,9; ; ; ;25,0;17,1;
3|28;0,468;47,9; ; ; ;25,0;22,4;
3|29;0,640;44,5; ; ; ;25,0;28,4;
3|30;0,875;39,8; ; ; ;25,0;34,9;
3|31;1,20;33,0; ; ; ;25,0;39,5;
3|32;1,64;24,4; ; ; ;25,0;39,9;
3|33;2,24;17,6; ; ; ;25,0;39,4;
3|34;3,06;12,6; ; ; ;25,0;38,4;
3|35;4,18;9,05; ; ; ;25,0;37,8;
3|36;5,72;6,60; ; ; ;25,0;37,8;
3|37;7,82;4,68; ; ; ;25,0;36,6;
3|38;10,7;3,43; ; ; ;25,0;36,6;
3|39;14,6;2,84; ; ; ;25,0;41,6;
3|40;20,0;2,31; ; ; ;25,0;46,1;
